Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Сатурн,школа робототехники,Курсы робототехники; Центры раннего развития детей; Детские / подростковые клубы,"проспект Нурсултана Назарбаева, 31/1",1 этаж,140006,,,Павлодар,Павлодар городская администрация,Павлодарская область,Казахстан,"Вт: 10:00-13:00, 14:00-17:00; Ср: 10:00-13:00, 14:00-17:00; Чт: 10:00-13:00, 14:00-17:00; Пт: 10:00-13:00, 14:00-17:00; Сб: 10:00-13:00, 14:00-16:30; Вс: 10:00-13:00, 14:00-16:30",+05:00,5.0,9,87477227995,,,,,,https://instagram.com/robosaturn_pvl,,,https://wa.me/77477227995,,,,,,,52.288623,76.969223,https://2gis.com/firm/70000001045167770,branch
Pixel,онлайн учебный центр,Курсы робототехники; Компьютерные клубы; Центры дистанционного обучения,,,,,,Семей,,Абай область,Казахстан,,+05:00,,,87172640281,,,,http://kz.pixel.study,,,,,,,,,,,,,,https://2gis.com/firm/70000001076396792,branch
Байт,школа робототехники,Курсы робототехники; Детские / подростковые клубы; Компьютерные курсы,"проспект Шакарима, 82Б",,,Казкрай ж/м,,Семей,,Абай область,Казахстан,Сб: 09:00-19:00; Вс: 09:00-19:00 (по предварительной записи),+05:00,3.0,2,87072525095,,,,http://1bt.kz/semey,,https://instagram.com/1bt.kz,,,https://wa.me/77072525095,,,,https://t.me/bytekz,,,50.418981,80.26048,https://2gis.com/firm/70000001079592372,branch
Робототехника,клуб робототехники для детей,Курсы робототехники; Детские / подростковые клубы,"улица Абая, 73",103-104 кабинет; 1 этаж,,,,Семей,,Абай область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,5.0,1,87083544371,,,,,,https://instagram.com/roboteh_semey,,,,,,,,,,50.401531,80.250603,https://2gis.com/firm/70000001062621645,branch
AI-DYN,образовательный центр,Курсы робототехники; Языковые школы; Спортивные секции; Детские / подростковые клубы; Музыкальные курсы,"улица Колбасшы Койгельды, 157",1 этаж,080000,,,Тараз,Тараз городская администрация,Жамбылская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,,,,,,,,,,,,,,,,,,,42.904907,71.366905,https://2gis.com/firm/70000001064955441,branch
KIBERone,международная школа программирования для детей,Курсы робототехники; Компьютерные курсы,"проспект Толе би, 36Б",40 офис; 3 этаж,,,,Тараз,Тараз городская администрация,Жамбылская область,Казахстан,Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,,,87778374774,,,,http://taraz.kiber-one.kz/,,https://instagram.com/kiberone.taraz,,,https://wa.me/77778374774,,,,,,,42.90203,71.374552,https://2gis.com/firm/70000001083245013,branch
Robo Park,центр робототехники и программирования,Курсы робототехники,"проспект Толе би, 80",,080020,,,Тараз,Тараз городская администрация,Жамбылская область,Казахстан,Пн: 09:00-17:30; Вт: 09:00-17:30; Ср: 09:00-17:30; Чт: 09:00-17:30; Сб: 09:00-17:30; Вс: 09:00-17:30,+05:00,5.0,1,87002932979,87472100414,87055627052,,,,https://instagram.com/robopark_taraz,,,https://wa.me/77472100414,https://wa.me/77002932979,,,,,,42.901399,71.349957,https://2gis.com/firm/70000001067531836,branch
Инжинириум МГТУ им. Н. Э. Баумана,учебный центр,Курсы робототехники; Компьютерные курсы; Помощь в обучении; Центры раннего развития детей,"проспект Толе би, 62",,,,,Тараз,Тараз городская администрация,Жамбылская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00,+05:00,,,87017570551,,,,,,https://instagram.com/inginirium.taraz,,,,,,viber://chat/?number=77017570551,https://t.me/+77017570551,,,42.901331,71.364189,https://2gis.com/firm/70000001078605163,branch
Центр технического творчества отдела образования города Тараз,Управление образования акимата Жамбылской области,Курсы робототехники; Спортивно-технические клубы,"улица Сарсенбаева, 1а",1 этаж,,,,Тараз,Тараз городская администрация,Жамбылская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00,+05:00,5.0,2,87262433770,,,,,,,,,,,,,,,,42.899688,71.361411,https://2gis.com/firm/70000001052613661,branch
Barys kids Turkistan,образовательный центр,Курсы робототехники; Помощь в обучении; Спортивно-интеллектуальные клубы; Языковые школы,"улица Ататурык, 125",,,,,Туркестан,Туркестан городская администрация,Туркестанская область,Казахстан,"Пн: 09:30-13:00, 14:00-18:30; Вт: 09:30-13:00, 14:00-18:30; Ср: 09:30-13:00, 14:00-18:30; Чт: 09:30-13:00, 14:00-18:30; Пт: 09:30-13:00, 14:00-18:30",+05:00,,,87714237469,,,,http://baryskids.kz,,https://instagram.com/baryskidsturkistan,,,https://wa.me/77714237469,,,,,,,43.294879,68.238471,https://2gis.com/firm/70000001091778627,branch
Prizma ,,Курсы робототехники; Помощь в обучении; Языковые школы,"160-й квартал, 489/1",1 этаж,,Жана Кала м-н,,Туркестан,Туркестан городская администрация,Туркестанская область,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+05:00,5.0,3,87762187720,,,,,,https://instagram.com/prizma_education_turkestan,,,https://wa.me/77762187720,,,,,,,43.278187,68.352768,https://2gis.com/firm/70000001090606185,branch
Advance,учебный центр,Курсы робототехники; Языковые школы; Помощь в обучении,"проспект Абулхаир хана, 103",1 этаж,090003,,,Уральск,Уральск городская администрация,Западно-Казахстанская область,Казахстан,Пн: 09:00-18:30; Вт: 09:00-18:30; Ср: 09:00-18:30; Чт: 09:00-18:30; Пт: 09:00-18:30; Сб: 09:00-18:30,+05:00,4.5,24,87789973433,,,,,,https://instagram.com/advance_uralsk,,,https://wa.me/77789973433,,,,,,,51.241265,51.407618,https://2gis.com/firm/70000001024928699,branch
Amedi,центр развития детей,Курсы робототехники; Детские / подростковые клубы; Языковые школы; Логопед; Помощь в обучении,"4-й микрорайон, 27/2",,090014,4 м-н,,Уральск,Уральск городская администрация,Западно-Казахстанская область,Казахстан,Пн: 08:30-18:00; Вт: 08:30-18:00; Ср: 08:30-18:00; Чт: 08:30-18:00; Пт: 08:30-18:00,+05:00,,,87779796929,87055919291,,,,,https://instagram.com/amedi_uralsk,,,https://wa.me/77779796929,,,,,,,51.242036,51.4363,https://2gis.com/firm/70000001065085579,branch
Meyrim ,учебный центр,Курсы робототехники; Помощь в обучении; Языковые школы; Центры раннего развития детей; Спортивные секции,"улица Кунаева, 59",,090014,Кунаева м-н,,Уральск,Уральск городская администрация,Западно-Казахстанская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00,+05:00,,,87056389803,,,,,,https://instagram.com/oner.bilim_ortalygy,,,https://wa.me/77056389803,,,,,,,51.250789,51.441431,https://2gis.com/firm/70000001070297447,branch
N-Tech Academy,центр робототехники,Курсы робототехники,"улица Самар, 87H",2 этаж,,,,Уральск,Уральск городская администрация,Западно-Казахстанская область,Казахстан,"Пн: 09:00-12:00, 13:00-20:00; Вт: 09:00-12:00, 13:00-20:00; Ср: 09:00-12:00, 13:00-20:00; Чт: 09:00-12:00, 13:00-20:00; Пт: 09:00-12:00, 13:00-20:00; Сб: 09:00-12:00, 13:00-20:00; Вс: 09:00-12:00, 13:00-20:00",+05:00,5.0,1,87053587616,,,,,,https://instagram.com/ntech_academy_uralsk,,,https://wa.me/77053587616,,,,https://t.me/+7705-3587616,,,51.203818,51.375155,https://2gis.com/firm/70000001082757155,branch
Robo-kids,образовательный центр,Курсы робототехники,"10-й микрорайон, 4",,,10-й м-н,,Аксай,Бурлинский район,Западно-Казахстанская область,Казахстан,"Пн: 09:00-12:00, 14:00-17:00; Вт: 09:00-12:00, 14:00-17:00; Ср: 09:00-12:00, 14:00-17:00; Чт: 09:00-12:00, 14:00-17:00; Пт: 09:00-12:00, 14:00-17:00",+05:00,,,,,,,,,https://instagram.com/robokids_aksay,,,https://wa.me/77779791316,,,,,,,51.156309,53.018226,https://2gis.com/firm/70000001074936760,branch
RoboLine,учебный центр,Курсы робототехники,"проспект Нурсултана Назарбаева, 182м",цокольный этаж,,,,Уральск,Уральск городская администрация,Западно-Казахстанская область,Казахстан,"Пн: 09:00-13:00, 14:00-20:00; Вт: 09:00-13:00, 14:00-20:00; Ср: 09:00-13:00, 14:00-20:00; Чт: 09:00-13:00, 14:00-20:00; Пт: 09:00-13:00, 14:00-20:00; Сб: 09:00-13:00, 14:00-20:00; Вс: 09:00-13:00, 14:00-20:00",+05:00,,,87077111213,,,,,,https://instagram.com/roboline_07,,,https://wa.me/77077111213,,,,,,,51.203205,51.370841,https://2gis.com/firm/70000001093005589,branch
RoboLine,учебный центр,Курсы робототехники,"улица Жана Орда, 7/1",9 офис; цокольный этаж,090014,Жана Орда м-н,,Уральск,Уральск городская администрация,Западно-Казахстанская область,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,5.0,1,87077111213,,,,,,https://instagram.com/roboline_07,,,https://wa.me/77077111213,,,,,,,51.254482,51.444708,https://2gis.com/firm/70000001080545550,branch
Байт,школа робототехники,Курсы робототехники,"4-й микрорайон, 27/2",центр Amedi,090014,4 м-н,,Уральск,Уральск городская администрация,Западно-Казахстанская область,Казахстан,Сб: 09:00-19:00; Вс: 09:00-19:00 (по предварительной записи),+05:00,5.0,5,87072525095,,,,http://1bt.kz/url,,https://instagram.com/1bt.kz,,,https://wa.me/77072525095,,,,https://t.me/bytekz,,,51.242036,51.4363,https://2gis.com/firm/70000001082881827,branch
Огонёк,творческая мастерская,Курсы робототехники,"проспект Абая, 20",1 этаж,,Старый город квартал,,Аксай,Бурлинский район,Западно-Казахстанская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00,+05:00,5.0,1,87055697902,,,,,,https://instagram.com/tvorcheskayamasterskaya_ogonek,,,https://wa.me/77055697902,,,,,,,51.163004,53.01588,https://2gis.com/firm/70000001090517352,branch
Талант,спортивный комплекс,Курсы робототехники; Обучение танцам; Детские / подростковые клубы; Спортивные секции,"улица Академика Асана Тайманова, 221а",,090002,,,Уральск,Уральск городская администрация,Западно-Казахстанская область,Казахстан,Пн: 08:30-17:30; Вт: 08:30-17:30; Ср: 08:30-17:30; Чт: 08:30-17:30; Пт: 08:30-17:30,+05:00,1.7,6,,,,,,,,,,,,,,,,,51.223707,51.355774,https://2gis.com/firm/70000001059397622,branch
Школа робототехники,,Курсы робототехники; Компьютерные курсы; Детские лагеря; Центры раннего развития детей; Дизайнерские курсы,"улица Мажекена Бутина, 2",,090014,Старый аэропорт м-н,,Уральск,Уральск городская администрация,Западно-Казахстанская область,Казахстан,"Пн: 09:00-12:00, 13:00-17:00; Вт: 09:00-12:00, 13:00-17:00; Ср: 09:00-12:00, 13:00-17:00; Чт: 09:00-12:00, 13:00-17:00; Пт: 09:00-12:00, 13:00-17:00; Сб: 09:00-12:00, 13:00-17:00; Вс: 09:00-12:00, 13:00-17:00",+05:00,,,87088446110,,,,,,https://instagram.com/01labs,,,https://wa.me/77088446110,,,,https://t.me/o1lab,,,51.256713,51.433064,https://2gis.com/firm/70000001080353792,branch
MakerSpace Oskemen,,Курсы робототехники; Компьютерные курсы; Дизайнерские курсы,"улица Казахстан, 102",,070019,,,Усть-Каменогорск,Усть-Каменогорск городская администрация,Восточно-Казахстанская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,5.0,16,87013452734,,,,,,https://instagram.com/american_corner_oskemen,,,https://wa.me/77013452734,,,,https://t.me/american_corner_oskemen,,,49.955473,82.634622,https://2gis.com/firm/70000001028167497,branch
Pixel,,Курсы робототехники; Компьютерные курсы,,,,,,Усть-Каменогорск,Усть-Каменогорск городская администрация,Восточно-Казахстанская область,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,87172640281,,,,,,,,,,,,,,,,,,https://2gis.com/firm/70000001077193818,branch
Robo City,школа робототехники,Курсы робототехники,"улица Утепова, 29а",3 этаж; со стороны парковки,070016,Комбинат шёлковых тканей м-н,,Усть-Каменогорск,Усть-Каменогорск городская администрация,Восточно-Казахстанская область,Казахстан,Пн: 09:00-19:30; Вт: 09:00-19:30; Ср: 09:00-19:30; Чт: 09:00-19:30; Пт: 09:00-19:30; Сб: 09:00-19:30; Вс: 09:00-19:30,+05:00,5.0,2,87718174109,,,,,,https://instagram.com/robocity_kz,,,https://wa.me/77718174109,,,,,,,49.901712,82.611886,https://2gis.com/firm/70000001068729416,branch
Robo Valli,школа робототехники,Курсы робототехники,"улица Калихан Ыскак, 4а",,070010,,,Усть-Каменогорск,Усть-Каменогорск городская администрация,Восточно-Казахстанская область,Казахстан,Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,5.0,1,87711988827,,,,,,https://instagram.com/robovalli,https://facebook.com/robovalliuka,,https://wa.me/77711988827,,,,,,,49.964709,82.581243,https://2gis.com/firm/70000001094473002,branch
Robo Valli,школа робототехники,Курсы робототехники,"улица Утепова, 31",,070016,Комбинат шёлковых тканей м-н,,Усть-Каменогорск,Усть-Каменогорск городская администрация,Восточно-Казахстанская область,Казахстан,"Пн: 09:00-12:30, 13:30-19:00; Вт: 09:00-12:30, 13:30-19:00; Ср: 09:00-12:30, 13:30-19:00; Чт: 09:00-12:30, 13:30-19:00; Пт: 09:00-12:30, 13:30-19:00; Сб: 09:00-12:30, 13:30-19:00; Вс: 09:00-12:30, 13:30-19:00",+05:00,3.7,4,87711988827,,,,,,https://instagram.com/robovalli,https://facebook.com/robovalliuka,,https://wa.me/77711988827,,,,,,,49.900394,82.612485,https://2gis.com/firm/70000001087538368,branch
Robo Valli,школа робототехники,Курсы робототехники,"набережная Славского, 16",,070004,,,Усть-Каменогорск,Усть-Каменогорск городская администрация,Восточно-Казахстанская область,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,4.5,11,87711988827,,,,,,https://instagram.com/robovalli,https://facebook.com/robovalliuka,,https://wa.me/77711988827,,,,,,,49.942317,82.617544,https://2gis.com/firm/70000001077294439,branch
Robotique,школа робототехники,Курсы робототехники,"проспект Абая, 9/1",41 кабинет; 4 этаж,070002,,,Усть-Каменогорск,Усть-Каменогорск городская администрация,Восточно-Казахстанская область,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,5.0,16,87777867775,,,,,,https://instagram.com/robotique_ukg,,,https://wa.me/77777867772,https://wa.me/77777867775,,,,,,49.962001,82.614271,https://2gis.com/firm/70000001056283794,branch
Robotoland,центр робототехники,Курсы робототехники,"улица Утепова, 5",,070016,Комбинат шёлковых тканей м-н,,Усть-Каменогорск,Усть-Каменогорск городская администрация,Восточно-Казахстанская область,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,,,87055090944,,,,,,https://instagram.com/robotland_ukg,,,,,,,,,,49.897905,82.619092,https://2gis.com/firm/70000001094610161,branch
Robotoland,центр робототехники,Курсы робототехники,"Нурсултана Назарбаева проспект, 27",,070002,,,Усть-Каменогорск,Усть-Каменогорск городская администрация,Восточно-Казахстанская область,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,,,87779962244,,,,,,https://instagram.com/robotland_ukg,,,,,,,,,,49.964576,82.598781,https://2gis.com/firm/70000001094610131,branch
Robotoland,центр робототехники,Курсы робототехники,"улица Кайсенова, 34",3 этаж,070004,,,Усть-Каменогорск,Усть-Каменогорск городская администрация,Восточно-Казахстанская область,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,,,87779962255,,,,,,https://instagram.com/robotland_ukg,,,,,,,,,,49.946208,82.623023,https://2gis.com/firm/70000001094610106,branch
Samgau,центр дополнительного образования,Курсы робототехники; Обучение танцам; Музыкальные курсы; Центры раннего развития детей; Языковые школы,"улица Калихан Ыскак, 4а",207 офис; 2 этаж,070010,,,Усть-Каменогорск,Усть-Каменогорск городская администрация,Восточно-Казахстанская область,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,,,87773053532,,,,,,https://instagram.com/studioiskusstv_samgau,,,https://wa.me/77773053532,,,,,,,49.964709,82.581243,https://2gis.com/firm/70000001069466256,branch
Академия Успеха-Мега Интеллект,центр развития личности,Курсы робототехники; Помощь в обучении; Центры раннего развития детей,"проспект Победы, 5",7 офис,070004,,,Усть-Каменогорск,Усть-Каменогорск городская администрация,Восточно-Казахстанская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00,+05:00,4.6,5,87055020051,87764144484,87232741700,,http://kiber-one.com,,https://instagram.com/akademus_kz,,,https://wa.me/77055020051,https://wa.me/77764144484,,,,,,49.944894,82.619545,https://2gis.com/firm/70000001025446889,branch
Байт,школа робототехники,Курсы робототехники,"улица Сагадат Нурмагамбетов, 48",,070004,,,Усть-Каменогорск,Усть-Каменогорск городская администрация,Восточно-Казахстанская область,Казахстан,Сб: 09:00-19:00; Вс: 09:00-19:00 (по предварительной записи: сб-вс),+05:00,5.0,2,87072525095,,,,http://1bt.kz/uka,,https://instagram.com/1bt.kz,,,https://wa.me/77072525095,,,,https://t.me/bytekz,,,49.95316,82.619505,https://2gis.com/firm/70000001082900388,branch
Знатоки,детский развивающий центр,Курсы робототехники; Логопед; Центры раннего развития детей; Спортивные секции; Языковые школы,"проспект Каныша Сатпаева, 26",,070015,Комбинат шёлковых тканей м-н,,Усть-Каменогорск,Усть-Каменогорск городская администрация,Восточно-Казахстанская область,Казахстан,Пн: 07:30-19:00; Вт: 07:30-19:00; Ср: 07:30-19:00; Чт: 07:30-19:00; Пт: 07:30-19:00; Сб: 08:00-16:00,+05:00,3.6,14,87761777709,,,,,,https://instagram.com/znatokiclub,,,https://wa.me/77761777709,,,,,,,49.903712,82.621167,https://2gis.com/firm/70000001027245572,branch
Өркен,детско-подростковый клуб,Курсы робототехники; Детские / подростковые клубы; Курсы творчества и рукоделия для взрослых; Библиотеки; Коворкинг,"проспект Каныша Сатпаева, 16/2",,070015,Комбинат шёлковых тканей м-н,,Усть-Каменогорск,Усть-Каменогорск городская администрация,Восточно-Казахстанская область,Казахстан,"Пн: 09:30-13:00, 14:00-18:00; Вт: 09:30-13:00, 14:00-18:00; Ср: 09:30-13:00, 14:00-18:00; Чт: 09:30-13:00, 14:00-18:00; Пт: 09:30-13:00, 14:00-18:00",+05:00,4.3,11,87232617188,,,,,,https://instagram.com/orken_dpk,,,,,,,,,,49.902711,82.619475,https://2gis.com/firm/12807639721325430,branch
Be Smart,учебный центр,Курсы робототехники; Языковые школы,"улица Аскарова, 38",3 этаж,160005,,Туран район,Шымкент,Шымкент городская администрация,Шымкент,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00,+05:00,,,87084072391,87064070794,,,,,https://instagram.com/besmart.center,,,https://wa.me/77064070794,https://wa.me/77084072391,,,,,,42.321313,69.570678,https://2gis.com/firm/70000001089091624,branch
Daryn,детский учебно-развивающий центр,Курсы робототехники; Языковые школы; Компьютерные курсы; Помощь в обучении,"улица Еримбетова, 28",3 этаж; 3 этаж,160016,Сайрам м-н,Аль-Фарабийский район,Шымкент,Шымкент городская администрация,Шымкент,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00,+05:00,,,87010648877,87780907097,,,,,https://instagram.com/daryn_club,,,,,,,,,,42.343238,69.633607,https://2gis.com/firm/70000001092073542,branch
FasTracKids Shymkent,международная детская академия,Курсы робототехники; Центры раннего развития детей; Языковые школы; Логопед; Детские / подростковые клубы; Помощь в обучении,"проспект Кунаева, 36/3",1-2 этаж,160021,,Аль-Фарабийский район,Шымкент,Шымкент городская администрация,Шымкент,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,5.0,12,87055701839,,,ftk_shymkent@mail.ru,http://www.fastrackids.kz,,https://instagram.com/fastrackids_shymkent,,,https://wa.me/77023089157,,,,,,,42.328141,69.599346,https://2gis.com/firm/70000001025728892,branch
Genius,центр интеллектуального развития детей,Курсы робототехники; Логопед; Дефектолог; Обучение танцам,"улица Аргынбекова, 620/3",1-3 этаж,,Северо-Восток м-н,Каратауский район,Шымкент,Шымкент городская администрация,Шымкент,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,4.9,4,87018904277,,,,,,https://instagram.com/geniusskids,,,https://wa.me/77018904277,,,,,,,42.352262,69.644444,https://2gis.com/firm/70000001064816760,branch
High Skills Education ,,Курсы робототехники; Языковые школы; Компьютерные курсы; Центры раннего развития детей,"проспект Тауке хана, 63",2 этаж,160011,,Аль-Фарабийский район,Шымкент,Шымкент городская администрация,Шымкент,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,5.0,31,87000550145,,,,,,https://instagram.com/highskills.education,,,https://wa.me/77000550145,,,,https://t.me/+77000550145,,,42.315199,69.61181,https://2gis.com/firm/70000001089663823,branch
I Smart,центр обучения робототехники,Курсы робототехники,"улица Казиева, 63/2",2 этаж,,Самал-2 м-н,Абайский район,Шымкент,Шымкент городская администрация,Шымкент,Казахстан,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00; Сб: 09:00-17:00; Вс: 09:00-17:00,+05:00,,,87056825157,,,,,,https://instagram.com/ismart_roboteh,,,https://wa.me/77056825157,,,,,,,42.358425,69.599401,https://2gis.com/firm/70000001068299042,branch
Leader Study Center,​учебный центр,Курсы робототехники; Языковые школы; Спортивно-интеллектуальные клубы; Помощь в обучении,"Юсуфа Сареми улица, 15",2 этаж,,Базаркакпа ж/м,Енбекшинский район,Шымкент,Шымкент городская администрация,Шымкент,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,5.0,1,87055562629,,,,,,https://instagram.com/leader_studycenter,,,https://wa.me/77055562629,,,,,,,42.290514,69.764451,https://2gis.com/firm/70000001088215224,branch
Liderland,учебный центр,Курсы робототехники; Помощь в обучении; Языковые школы,"улица Сыпырган Ата, 28/7",1 этаж,160015,Тельман м-н,Абайский район,Шымкент,Шымкент городская администрация,Шымкент,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,,,87783994043,,,,,,https://instagram.com/liderland_,,,https://wa.me/77783994043,,,,,,,42.353455,69.545834,https://2gis.com/firm/70000001090206369,branch
Mustafa Company,учебный центр,Курсы робототехники; Центры раннего развития детей; Компьютерные курсы; Языковые школы,"улица Бектаева, 100",3 этаж,160024,Самал-1 м-н,Туран район,Шымкент,Шымкент городская администрация,Шымкент,Казахстан,Пн: 09:00-16:00; Вт: 09:00-16:00; Ср: 09:00-16:00; Чт: 09:00-16:00; Пт: 09:00-16:00,+05:00,5.0,1,87022385008,,,,,,https://instagram.com/mustafa_oku_ortalygy,,,https://wa.me/77022385008,,,,,,,42.353164,69.583849,https://2gis.com/firm/70000001089833499,branch
Oilan KZ,образовательный центр,Курсы робототехники; Игрушки; Книги,,,,,,,Ордабасынский район,Туркестанская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00,+05:00,,,87471231868,87762372655,,,http://oilankz.com,http://tiktok.com/@oilankz.com,https://instagram.com/oilankz.company,,,,,,,,,https://youtube.com/oilankz,42.59756,69.304851,https://2gis.com/firm/70000001093741326,branch
Oilan KZ,образовательный центр,Курсы робототехники; Игрушки; Книги,"улица Абасова, 2/26",1 этаж,,,,,Ордабасынский район,Туркестанская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00,+05:00,,,87762372655,87471231868,,,,,https://instagram.com/oilankz.company,https://facebook.com/oilankz.com,,https://wa.me/77471231868,,,,,,,42.598288,69.259225,https://2gis.com/firm/70000001091589440,branch
Pixel,онлайн-школа программирования,Курсы робототехники; Компьютерные курсы,,,,,,Шымкент,Шымкент городская администрация,Шымкент,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,,,87172640281,,,,http://kz.pixel.study,,,,,,,,,,,,,,https://2gis.com/firm/70000001075534045,branch
Robo Park,школа робототехники и программирования,Курсы робототехники; Компьютерные курсы; Центры раннего развития детей; Детские / подростковые клубы; Языковые школы,"улица Толе би, 106",2 этаж,,,,Ленгер,Толебийский район,Туркестанская область,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00,+05:00,5.0,1,87073048270,87075150314,,,http://www.robopark.kz/,,https://instagram.com/lenger_robopark,,,https://wa.me/77073048270,,,,,,https://youtube.com/channel/UC0nnjs7yfMMrGUGWfXNl9Iw,42.187075,69.869129,https://2gis.com/firm/70000001077787980,branch
